,Transaction date,Transaction type,Num,Customer full name,Vendor,Memo/Description,Cleared,Amount
,01/03/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:TUD2IITEPJIHPMM           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,98.33
,01/03/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:TUD2IITEPJIHPMM           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,98.33
71,,,,,,,,
,01/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H5F7H9J6E8M5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,20.42
,01/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-H5F7H9J6E8M5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,20.42
74,,,,,,,,
,01/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G6A7Q4U3F6I6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,4431.74
,01/04/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G6A7Q4U3F6I6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,4431.74
77,,,,,,,,
,01/04/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-S9O4Q8G5O2A0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,3550.66
,01/04/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-S9O4Q8G5O2A0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,3550.66
65,,,,,,,,
,01/05/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-M5H6Z6P5R4J8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,4329.39
,01/05/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-M5H6Z6P5R4J8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,4329.39
75,,,,,,,,
,01/05/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N4B6U4S8O8E5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,229.58
,01/05/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N4B6U4S8O8E5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,229.58
76,,,,,,,,
,01/05/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-I1I8Z1O8G7H9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,4329.99
,01/05/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-I1I8Z1O8G7H9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,4329.99
104,,,,,,,,
,01/08/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X5S6S9T3J0Q1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2165.37
,01/08/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X5S6S9T3J0Q1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2165.37
108,,,,,,,,
,01/08/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-U7U9E3F5D7P3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1089.48
,01/08/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-U7U9E3F5D7P3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1089.48
109,,,,,,,,
,01/08/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X8D6C0M0Y7R2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,159.19
,01/08/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X8D6C0M0Y7R2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,159.19
122,,,,,,,,
,01/09/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-W0D7D5C2S0J9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1850.08
,01/09/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-W0D7D5C2S0J9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1850.08
123,,,,,,,,
,01/09/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-K0V6J1G5W4X9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,9610.93
,01/09/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-K0V6J1G5W4X9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,9610.93
124,,,,,,,,
,01/09/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX87167671             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,5025.74
,01/09/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX87167671             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,5025.74
125,,,,,,,,
,01/09/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X2I3H1J5G2L6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,296.16
,01/09/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-X2I3H1J5G2L6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,296.16
136,,,,,,,,
,01/10/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I3T0J3O5Y3G9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2484.96
,01/10/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-I3T0J3O5Y3G9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2484.96
138,,,,,,,,
,01/10/2024,Deposit,,,Maximus Outdoors,Online Banking transfer from CHK 1108                       Confirmation# XXXXX78322,Reconciled,25000
,01/10/2024,Deposit,,,Maximus Outdoors,Online Banking transfer from CHK 1108                       Confirmation# XXXXX78322,Uncleared,25000
140,,,,,,,,
,01/10/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:7X8ZUM92E1N67RE           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,109.88
,01/10/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:7X8ZUM92E1N67RE           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,109.88
141,,,,,,,,
,01/10/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-P0K3Q9J4V4A2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,4334.59
,01/10/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-P0K3Q9J4V4A2           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,4334.59
142,,,,,,,,
,01/10/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E6P9D7S6H3E5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,205.27
,01/10/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E6P9D7S6H3E5           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,205.27
160,,,,,,,,
,01/11/2024,Deposit,,,,AMAZON.CJQ7RMUZ2 DES:PAYMENTS   ID:29KQZA4I0AQDVK2           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,520.79
,01/11/2024,Deposit,,,,AMAZON.CJQ7RMUZ2 DES:PAYMENTS   ID:29KQZA4I0AQDVK2           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,520.79
162,,,,,,,,
,01/11/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q3W4L6D4W9O9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,459.59
,01/11/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q3W4L6D4W9O9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,459.59
164,,,,,,,,
,01/11/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F9F0P4A7Q8K6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1890.11
,01/11/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F9F0P4A7Q8K6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1890.11
157,,,,,,,,
,01/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-C7B3A7B3P2X6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,57.37
,01/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-C7B3A7B3P2X6           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,57.37
158,,,,,,,,
,01/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E5H1U7P6W7I9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2342.24
,01/12/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-E5H1U7P6W7I9           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2342.24
159,,,,,,,,
,01/12/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M8M0A7A5Z4A6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1736.21
,01/12/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-M8M0A7A5Z4A6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1736.21
169,,,,,,,,
,01/16/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F3I9N1M7B2I0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3056.54
,01/16/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-F3I9N1M7B2I0           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3056.54
170,,,,,,,,
,01/16/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-R8Z6K8N1Z4H2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,60.71
,01/16/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-R8Z6K8N1Z4H2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,60.71
171,,,,,,,,
,01/16/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q8P2T7W5W6D9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,633.23
,01/16/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Q8P2T7W5W6D9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,633.23
172,,,,,,,,
,01/16/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX25768293             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,5031.8
,01/16/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX25768293             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,5031.8
186,,,,,,,,
,01/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:JFOAUTLJR81E3XO           INDN:Rick's Tackle Outlet    CO ID:XXXXX98000 CCD,Reconciled,49.66
,01/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:JFOAUTLJR81E3XO           INDN:Rick's Tackle Outlet    CO ID:XXXXX98000 CCD,,49.66
187,,,,,,,,
,01/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:R2HK4DWPPHV6CMA           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,54.02
,01/17/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:R2HK4DWPPHV6CMA           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,54.02
188,,,,,,,,
,01/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-E2U4E5N7D0J5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,12695.81
,01/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-E2U4E5N7D0J5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,12695.81
189,,,,,,,,
,01/17/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-P6Y0K7H9N4R3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1457.79
,01/17/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-P6Y0K7H9N4R3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1457.79
190,,,,,,,,
,01/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Q7H0K2A2M9N0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,235.23
,01/17/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-Q7H0K2A2M9N0           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,235.23
180,,,,,,,,
,01/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y9O1U2B9C1P1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2308.84
,01/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-Y9O1U2B9C1P1           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2308.84
181,,,,,,,,
,01/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7E2Z6H5Q7N8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,57.49
,01/18/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-J7E2Z6H5Q7N8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,57.49
182,,,,,,,,
,01/18/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-G2M6H5L0H1O3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,3351.1
,01/18/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-G2M6H5L0H1O3           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,3351.1
185,,,,,,,,
,01/18/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:MTOTCV0VAOQBLTT           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,113.38
,01/18/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:MTOTCV0VAOQBLTT           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,113.38
176,,,,,,,,
,01/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N1R6N8W7L1Y5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2311.51
,01/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N1R6N8W7L1Y5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2311.51
178,,,,,,,,
,01/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N9R3H6U4O7E1           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,10.39
,01/19/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-N9R3H6U4O7E1           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,10.39
179,,,,,,,,
,01/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E4U8A5H9M4P7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,743.44
,01/19/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-E4U8A5H9M4P7           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,743.44
211,,,,,,,,
,01/22/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-W4E7D8X5P0M5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,710.27
,01/22/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-W4E7D8X5P0M5           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,710.27
212,,,,,,,,
,01/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-U8D9X4X1G9G8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1564.29
,01/22/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-U8D9X4X1G9G8           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1564.29
225,,,,,,,,
,01/23/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Y7N8G2A0D7F6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,317.86
,01/23/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-Y7N8G2A0D7F6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,317.86
226,,,,,,,,
,01/23/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G6L3D4G6F7J4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,7346.84
,01/23/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G6L3D4G6F7J4           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,7346.84
236,,,,,,,,
,01/23/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:BNKETS7I238LHA7           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,66.32
,01/23/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:BNKETS7I238LHA7           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,66.32
237,,,,,,,,
,01/23/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX61906858             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,4829.89
,01/23/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX61906858             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,4829.89
234,,,,,,,,
,01/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-T8M7H4U3N8W6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2122.75
,01/24/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-T8M7H4U3N8W6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2122.75
235,,,,,,,,
,01/24/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-U4B3Q2X7H2J6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,2194.74
,01/24/2024,Deposit,,,,STRIPE           DES:TRANSFER   ID:ST-U4B3Q2X7H2J6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,2194.74
242,,,,,,,,
,01/25/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V2D5P3Y9A1T9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,406.52
,01/25/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V2D5P3Y9A1T9           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,406.52
243,,,,,,,,
,01/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K3M4I6C9Q3I2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2495.15
,01/25/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-K3M4I6C9Q3I2           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2495.15
260,,,,,,,,
,01/25/2024,Deposit,,,,AMAZON.CJVJ12NTW DES:PAYMENTS   ID:JNKVWKLQVHBRQK6           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,Reconciled,346.78
,01/25/2024,Deposit,,,,AMAZON.CJVJ12NTW DES:PAYMENTS   ID:JNKVWKLQVHBRQK6           INDN:Outdoor Playground Inc  CO ID:XXXXX40102 CCD,,346.78
251,,,,,,,,
,01/26/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-O1W7O8O5V1L6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,522.91
,01/26/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-O1W7O8O5V1L6           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,522.91
252,,,,,,,,
,01/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M8D5Y3E1M1W5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,2422.66
,01/26/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-M8D5Y3E1M1W5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,2422.66
259,,,,,,,,
,01/26/2024,Deposit,,,,WIRE TYPE:WIRE IN DATE: 240126 TIME:1017 ET                 TRN:XXXXXXXXXX302468 SEQ:XXXXXXXXXX061199/399946            ORIG:PLASTIQ C ID:O FINXERA SND BK:WELLS FARGO BAN          K NA ID:0407 PMT DET:FXXXXX4489 522018 SGES LLC DB          A WARRIORS TACKLE 522018,Reconciled,2444.5
,01/26/2024,Deposit,,,,WIRE TYPE:WIRE IN DATE: 240126 TIME:1017 ET                 TRN:XXXXXXXXXX302468 SEQ:XXXXXXXXXX061199/399946            ORIG:PLASTIQ C ID:O FINXERA SND BK:WELLS FARGO BAN          K NA ID:0407 PMT DET:FXXXXX4489 522018 SGES LLC DB          A WARRIORS TACKLE 522018,,2444.5
273,,,,,,,,
,01/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-J2Z3K1T6I0K7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,1464.76
,01/29/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-J2Z3K1T6I0K7           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,1464.76
274,,,,,,,,
,01/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:H03CMBCPX8BKAAA           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,Reconciled,182.14
,01/29/2024,Deposit,,,,SHOPPAYINST AFRM DES:PAYMENTS   ID:H03CMBCPX8BKAAA           INDN:MONSTERBASS             CO ID:XXXXX98000 CCD,,182.14
276,,,,,,,,
